index,x,y,z,yaw,distance
20.6230,-0.0005,0.0004,0.0106,-0.0050,-0.0055
20.7230,0.0014,0.0002,0.0114,-0.0097,-0.0151
20.8230,-0.0007,-0.0001,0.0096,0.0214,-0.0319
20.9230,-0.0005,0.0010,0.0104,-0.0217,-0.0007
21.0230,0.0001,0.0002,0.0093,-0.0050,0.0041
21.1230,-0.0002,0.0002,0.0093,-0.0002,-0.0031
21.2230,-0.0010,0.0007,0.0106,-0.0026,0.0352
21.3230,0.0003,0.0012,0.0112,0.0046,-0.0223
21.4230,-0.0002,0.0004,0.0098,-0.0097,0.0184
21.5230,-0.0010,-0.0001,0.0088,0.0070,0.0112
21.6230,0.0003,0.0004,0.0104,0.0070,0.0280
21.7230,-0.0005,-0.0001,0.0091,-0.0097,0.0184
21.8230,-0.0002,0.0012,0.0104,-0.0073,0.0160
21.9230,-0.0005,-0.0009,0.0104,0.0022,0.0088
22.0230,-0.0005,0.0015,0.0101,-0.0193,0.0112
22.1230,-0.0002,0.0007,0.0096,-0.0002,-0.0127
22.2230,-0.0005,-0.0017,0.0104,-0.0313,-0.0271
22.3230,0.0003,0.0004,0.0096,0.0046,-0.0079
22.4230,-0.0007,0.0012,0.0098,0.0118,-0.0247
22.5230,-0.0005,0.0010,0.0088,0.0022,-0.0055
22.6230,0.0006,0.0015,0.0098,-0.0121,-0.0127
22.7230,0.0009,-0.0012,0.0088,0.0046,-0.0007
22.8230,-0.0002,0.0007,0.0112,-0.0480,-0.0151
22.9230,0.0001,0.0015,0.0093,-0.0193,-0.0175
23.0230,-0.0023,-0.0004,0.0091,-0.0337,-0.0390
23.1230,-0.0010,0.0004,0.0098,0.0070,0.0232
23.2230,-0.0013,0.0004,0.0091,0.0142,-0.0055
23.3230,-0.0010,-0.0006,0.0096,0.0142,-0.0031
23.4230,-0.0010,0.0012,0.0101,-0.0121,-0.0079
23.5230,-0.0013,-0.0006,0.0091,0.0286,0.0112
23.6230,-0.0010,0.0002,0.0098,-0.0002,0.0041
23.7230,-0.0015,-0.0012,0.0106,-0.0050,-0.0055
23.8230,-0.0050,-0.0065,0.0104,0.0381,-0.0175
23.9230,-0.0023,-0.0006,0.0109,0.0190,0.0136
24.0230,-0.0015,0.0018,0.0122,0.0381,0.0088
24.1230,-0.0013,-0.0004,0.0162,0.0070,0.0041
24.2230,0.0001,-0.0001,0.0138,0.0477,0.0112
24.3230,-0.0010,-0.0004,0.0154,0.0142,0.0041
24.4230,-0.0015,0.0002,0.0154,0.0669,0.0256
24.5230,0.0067,0.0015,0.0317,0.1172,0.2291
24.6230,0.0027,0.0042,0.0224,-0.0097,-0.0941
24.7230,-0.0082,-0.0020,0.0165,-0.0385,-0.1899
24.8230,-0.0015,-0.0017,0.0043,-0.0026,-0.0678
24.9230,-0.0108,-0.0097,0.0096,-0.0073,-0.0869
25.0230,0.0033,0.0079,0.0075,0.0238,-0.0103
25.1230,0.0017,0.0012,0.0085,0.0262,-0.0055
25.2230,0.0051,-0.0004,0.0069,-0.0073,-0.0247
25.3230,0.0041,0.0031,0.0080,0.0717,-0.0103
25.4230,-0.0013,0.0010,0.0114,0.0405,0.0735
25.5230,0.0022,0.0034,0.0085,0.0286,-0.0247
25.6230,-0.0005,0.0020,0.0098,0.0190,-0.0247
25.7230,-0.0116,0.0020,0.0080,-0.0840,-0.1947
25.8230,0.0017,0.0095,0.0093,-0.1127,0.0232
25.9230,0.0054,0.0034,0.0072,0.0788,-0.0558
26.0230,0.0083,0.0103,0.0083,-0.0576,0.0519
26.1230,0.0009,0.0010,0.0085,-0.0193,-0.0103
26.2230,0.0017,0.0058,0.0104,0.0094,-0.0103
26.3230,0.0003,0.0012,0.0098,-0.0241,0.0328
26.4230,-0.0007,0.0004,0.0109,0.0405,0.0112
26.5230,-0.0002,-0.0012,0.0093,-0.0289,-0.0319
26.6230,0.0011,-0.0009,0.0098,0.0094,0.0208
26.7230,0.0014,-0.0009,0.0104,-0.0193,0.0064
26.8230,-0.0023,0.0004,0.0112,0.0190,0.0064
26.9230,-0.0100,0.0337,0.0056,-0.0792,-0.0079
27.0230,-0.0319,0.0804,0.0072,-0.0169,0.0041
27.1230,0.0067,0.1590,-0.0120,-0.2611,-0.0175
27.2230,-0.0252,0.0716,-0.0136,-0.3354,-0.1779
27.3230,-0.0196,0.0183,0.0445,-0.5867,-0.3599
27.4230,-0.0492,0.0646,0.0719,-0.5149,0.0088
27.5230,-0.0759,-0.0739,0.0887,-0.0911,0.0543
27.6230,-0.0119,-0.3441,0.0938,-0.7472,-0.1252
27.7230,0.0190,-0.4027,-0.0586,0.1818,-0.4508
27.8230,-0.0175,-0.0761,-0.0530,0.1531,-0.9464
27.9230,-0.0364,0.0948,-0.1223,-0.0935,-0.8315
28.0230,0.3070,0.3769,-0.2068,-0.8142,-0.4796
28.1230,0.6036,0.4952,-0.5010,-0.1007,-0.1827
28.2230,0.4829,0.1203,-0.8524,-0.7687,0.5763
28.3230,0.3142,-0.0345,-0.8327,-0.7519,1.1940
28.4230,0.2628,-0.0907,-0.9249,-1.0057,1.5172
28.5230,0.0305,-0.3502,-0.8186,-0.6705,1.7518
28.6230,-0.3938,-0.4835,-0.8697,-0.2516,1.6393
28.7230,-0.5459,-0.3628,-0.8284,-0.0457,0.7487
28.8230,-0.3074,-0.0406,-0.5684,0.2847,0.1429
28.9230,-0.2166,-0.0952,-0.6526,0.5385,-0.1180
29.0230,-0.2741,-0.2021,-0.5503,0.7660,-0.8483
29.1230,-0.1705,-0.0478,-0.5143,0.6702,-1.1332
29.2230,-0.1457,-0.0209,-0.4586,0.5266,-0.8483
29.3230,-0.2155,-0.1517,-0.5036,0.7612,-0.3503
29.4230,-0.1617,0.1046,-0.5489,0.4739,-0.8172
29.5230,-0.1579,0.2741,-0.5860,-0.0624,-0.2354
29.6230,0.0059,0.0023,-0.6608,0.2081,0.1645
29.7230,0.1466,0.1488,-0.6281,-0.0911,0.1740
29.8230,0.2809,0.2437,-0.4346,-0.1199,0.3392
29.9230,0.2194,0.1318,-0.2942,-0.0792,0.1357
30.0230,-0.0655,0.0825,-0.2806,-0.1199,-0.0726
30.1230,-0.0204,0.1217,-0.1855,0.3470,-0.3623
30.2230,0.0803,0.1547,-0.2188,0.0214,-0.1588
30.3230,-0.0583,0.0111,-0.2518,0.0741,-0.6927
30.4230,-0.0053,-0.2109,-0.3691,0.8641,-0.7190
30.5230,-0.1260,-0.1104,-0.4402,0.9384,-1.3606
30.6230,-0.4545,-0.1970,-0.6001,0.6056,-1.1452
30.7230,-0.2984,-0.1211,-0.8503,0.8139,-1.8036
30.8230,0.1112,0.4356,-1.0235,0.0525,-1.5330
30.9230,0.1746,0.3378,-1.1735,-0.2946,-1.7581
31.0230,-0.0276,0.0987,-1.1181,-0.1797,-1.4564
31.1230,0.1064,0.2083,-0.9841,-0.2468,-1.3128
31.2230,0.1211,-0.1003,-0.8231,-0.2635,-1.4803
31.3230,-0.1097,-0.2263,-0.6571,-0.1342,-0.9704
31.4230,-0.0092,0.0503,-0.9206,0.1914,-0.8746
31.5230,-0.0604,0.0697,-0.7203,-0.9842,0.1549
31.6230,0.0462,0.1289,-0.7954,0.3278,-0.5275
31.7230,0.1829,-0.0206,-0.7053,-0.1702,-0.0726
31.8230,0.0475,0.0713,-0.8665,0.4164,-0.0247
31.9230,-0.0100,-0.0286,-0.7664,0.3733,-0.6160
32.0230,0.0843,0.1678,-0.9862,-0.1103,-0.8818
32.1230,-0.0362,0.2035,-0.9465,-0.5197,-0.5299
32.2230,0.1144,0.2203,-1.0254,0.1387,-0.4508
32.3230,-0.0050,-0.0142,-0.9233,-0.5077,-1.0063
32.4230,-0.1286,-0.2234,-0.9017,-0.6083,-0.4149
32.5230,-0.1593,0.0388,-0.8783,-0.7831,-0.0606
32.6230,0.0560,0.3252,-0.7291,-0.3330,-0.5921
32.7230,0.0089,0.1310,-0.6393,-0.8740,-0.3168
32.8230,-0.0026,-0.0449,-0.5479,-0.0193,-0.0654
32.9230,-0.0148,0.1715,-0.5511,-0.0576,-0.0750
33.0230,-0.0098,0.0420,-0.4290,-0.1965,0.1333
33.1230,-0.0045,0.1046,-0.1407,-0.9722,0.2387
33.2230,0.0273,-0.1150,-0.0402,-0.3138,-0.1588
33.3230,-0.0708,-0.0742,0.2515,0.3063,-0.0893
33.4230,-0.1262,-0.0433,0.3752,0.2249,-0.1755
33.5230,-0.0399,0.1174,0.5771,0.4332,-0.3431
33.6230,-0.0114,-0.0859,1.0160,-0.0696,-0.0079
33.7230,-0.0703,-0.1834,1.1586,-0.6873,0.5451
33.8230,0.2311,-0.0310,1.2239,-0.3330,0.3776
33.9230,0.0515,0.1174,1.0139,-0.0959,0.4039
34.0230,0.0070,-0.1320,1.0171,0.1459,0.2746
34.1230,0.0035,-0.0971,0.7909,0.2800,0.4350
34.2230,0.0241,-0.1325,0.5143,-0.1558,-0.0797
34.3230,0.1517,-0.0308,0.4618,-0.5413,0.1836
34.4230,-0.0852,0.0089,0.3331,-0.2875,-0.5035
34.5230,-0.1118,0.0385,0.3280,0.6989,-0.7310
34.6230,0.0315,0.0063,0.3925,0.1818,-0.7453
34.7230,-0.0482,0.0252,0.5630,-0.2444,-0.5634
34.8230,-0.1481,0.2192,0.4578,-0.8238,0.1932
34.9230,-0.0418,-0.2394,0.3613,-0.4359,-0.2210
35.0230,0.1165,0.1923,0.2739,-0.2563,0.1764
35.1230,0.0249,-0.1600,0.2118,0.1507,-0.1013
35.2230,-0.0487,-0.0545,-0.0125,-0.3832,-0.0414
35.3230,0.0774,0.1427,0.0693,-1.6019,0.1573
35.4230,-0.0148,-0.1706,-0.2539,-0.3521,-0.5849
35.5230,-0.1126,0.0319,-0.3150,-0.1510,-0.3120
35.6230,-0.0844,-0.1174,-0.2121,-0.0145,-0.5418
35.7230,-0.0455,0.0590,0.1060,0.0645,-0.6831
35.8230,-0.0529,0.3967,0.1343,-1.7814,0.6529
35.9230,0.0350,-0.2333,0.1319,-0.1534,-0.0534
36.0230,-0.0060,0.2919,0.0130,-0.6059,0.2052
36.1230,-0.0106,-0.1957,0.0149,0.0573,-0.4796
36.2230,0.1035,0.0071,-0.1343,-0.1271,-0.1851
36.3230,0.0766,-0.1040,-0.2841,-0.2276,-0.3359
36.4230,0.0827,-0.1091,-0.3635,-0.6969,-0.7980
36.5230,0.1120,0.1209,-0.3994,-0.5245,0.0041
36.6230,0.1301,-0.1968,-0.2913,-0.1725,-0.2449
36.7230,-0.1060,-0.1421,-0.2574,-0.4120,-0.5059
36.8230,-0.1081,-0.0308,-0.0930,-0.4814,-0.6160
36.9230,0.1789,-0.1195,-0.4309,0.2129,-0.3623
37.0230,0.0968,0.1025,-0.4724,-1.0369,-0.0295
37.1230,-0.0314,-0.1022,-0.5028,0.1650,-0.4580
37.2230,0.0384,-0.1054,-0.7680,-0.2635,-0.1276
37.3230,0.0992,0.0942,-0.9388,-0.9195,0.3201
37.4230,0.1818,0.0431,-0.7469,-0.9100,0.0208
37.5230,-0.0388,-0.1198,-0.7677,0.0741,-0.0989
37.6230,-0.1105,-0.0689,-0.4999,-0.4646,-0.1827
37.7230,-0.1489,0.0606,-0.2260,0.2919,-0.3431
37.8230,0.0877,0.1885,-0.3776,-0.3354,0.3464
37.9230,0.0784,0.0223,-0.3142,-1.1949,0.4805
38.0230,-0.0593,-0.0449,-0.3288,-0.1414,0.7127
38.1230,-0.2493,-0.2740,-0.1322,0.8689,0.2842
38.2230,-0.3146,-0.1568,0.1761,0.5912,-0.0582
38.3230,0.0837,0.1670,0.6382,-0.9291,1.0910
38.4230,0.2383,0.1464,0.6893,-0.2109,0.9115
38.5230,0.1085,0.2203,0.6571,0.3877,0.4135
38.6230,0.0499,0.1424,0.9726,-0.4048,0.5547
38.7230,-0.0703,0.0460,1.0133,-0.5796,0.6289
38.8230,0.0153,0.2719,0.9771,-0.7591,1.2083
38.9230,-0.0617,0.0897,0.6971,-0.9914,0.9905
39.0230,0.0542,0.2405,0.6709,-0.8262,0.3129
39.1230,0.0030,-0.0188,0.5295,0.0310,0.4661
39.2230,-0.0663,-0.0918,0.3933,-0.3090,-0.2138
39.3230,-0.0503,-0.3020,0.5769,-0.6155,0.2339
39.4230,-0.0958,0.1353,0.3946,-1.0895,1.2107
39.5230,-0.1971,-0.1472,0.3395,-0.8884,0.5643
39.6230,0.0211,0.0385,0.3754,-0.6466,0.0184
39.7230,-0.0524,0.0782,0.3893,-0.3497,-0.3192
39.8230,-0.0852,-0.1203,0.6155,-0.5772,0.1597
39.9230,-0.3482,-0.1786,0.9672,-0.8501,1.3257
40.0230,-0.0855,0.1446,0.7019,-0.2204,1.2395
40.1230,-0.0098,0.0529,0.9899,-0.6203,1.9481
40.2230,-0.2072,0.0071,0.8998,-0.3282,1.0791
40.3230,-0.1300,-0.1619,0.9971,-0.2923,0.7774
40.4230,-0.0945,-0.2346,1.0738,-0.2851,0.7630
40.5230,0.0651,0.0782,1.1303,-0.2659,0.4302
40.6230,0.1149,0.1185,1.2271,-0.7400,1.4549
40.7230,0.0803,0.0479,1.1447,-0.9985,1.0336
40.8230,0.1365,-0.1128,1.0637,-0.7400,0.4925
40.9230,0.1538,0.0796,0.9403,-0.3354,0.1238
41.0230,0.1381,-0.0619,0.8364,-0.4024,0.2459
41.1230,0.1131,-0.0236,0.7645,-0.9818,1.0551
41.2230,0.0611,-0.1014,0.4586,-0.4239,0.2914
41.3230,-0.0298,-0.0494,0.2697,-0.3114,0.8612
41.4230,0.0273,-0.1120,0.0160,0.0741,0.8708
41.5230,-0.0234,-0.1978,-0.2937,0.0884,0.8301
41.6230,-0.1174,-0.1957,-0.6081,0.1890,0.8588
41.7230,-0.1049,-0.1933,-0.6843,-0.4646,0.3799
41.8230,-0.1782,-0.2602,-0.7440,-0.7280,-0.2856
41.9230,-0.1859,0.1467,-0.6933,0.0741,-0.2138
42.0230,-0.1694,0.0255,-0.8079,0.1483,-0.2521
42.1230,-0.1670,-0.1746,-0.7101,0.1602,-0.5251
42.2230,-0.4263,-0.3889,-0.6246,0.2704,-0.4461
42.3230,-0.3295,-0.0862,-0.5612,0.2440,-0.1061
42.4230,-0.0964,0.0279,-0.6766,0.0812,-0.5322
42.5230,0.0113,0.1736,-1.0003,0.7588,-0.8603
42.6230,0.0678,0.0825,-0.9342,0.7109,-0.4987
42.7230,0.0121,0.1043,-0.9960,1.1921,-0.2210
42.8230,-0.0934,0.1065,-0.9681,0.8450,-0.4101
42.9230,-0.1960,-0.0782,-0.9070,0.9025,-0.6735
43.0230,0.0579,0.3202,-0.8162,0.2560,-0.1707
43.1230,-0.0492,0.4643,-0.7802,-1.1326,-1.2385
43.2230,-0.0791,0.0846,-0.5132,-0.5604,-0.6927
43.3230,-0.0122,0.1185,-0.3877,-0.6298,-0.6472
43.4230,0.0078,0.1086,-0.2694,-0.0433,-0.9393
43.5230,-0.0060,-0.1373,-0.0091,0.4260,-0.8483
43.6230,-0.0255,-0.1674,0.2702,0.7013,-0.6232
43.7230,-0.1643,-0.3886,0.5257,0.3063,0.2698
43.8230,-0.1481,-0.0185,0.6001,-0.2300,0.3488
43.9230,0.2146,0.1201,0.5905,0.4428,0.4661
44.0230,0.1498,0.0367,0.4466,0.2488,-0.0462
44.1230,0.0598,0.0452,0.5268,0.6247,0.2219
44.2230,0.0382,0.1011,0.5428,0.4978,0.4230
44.3230,-0.0529,-0.0539,0.5894,0.5433,0.4637
44.4230,-0.0370,-0.2421,0.7418,0.3302,0.4087
44.5230,0.0790,0.0127,0.6883,0.4260,0.6409
44.6230,0.1589,0.0649,0.8492,-0.2923,0.1764
44.7230,0.0803,0.0481,1.0125,-0.0193,0.9402
44.8230,0.0632,-0.0310,1.2385,0.1698,0.7103
44.9230,0.0752,0.1051,1.4181,0.0669,1.0838
45.0230,0.0347,0.0127,1.4389,-0.0624,0.7534
45.1230,0.0009,-0.0721,1.5487,-0.0097,0.3177
45.2230,0.0835,0.0814,1.6670,-0.2659,0.2890
45.3230,0.2676,0.2711,1.7376,-0.5173,1.2562
45.4230,-0.0090,0.0388,1.5958,-1.1973,0.7343
45.5230,-0.0505,0.2394,1.5252,-1.2643,0.7774
45.6230,-0.0063,0.1832,1.2739,-0.9866,0.0902
45.7230,-0.0396,0.1715,1.0163,-0.7543,0.4542
45.8240,-0.1220,-0.0633,0.7357,-0.2923,-0.4748
45.9230,-0.0980,-0.1136,0.6478,0.1124,-0.0821
46.0230,-0.1105,-0.3132,0.4724,-0.2276,-0.0438
46.1230,-0.0362,-0.0369,0.3629,-0.1031,0.5451
46.2230,-0.0932,0.1840,0.1828,-1.3457,0.5451
46.3230,-0.0969,-0.0470,0.1300,-0.7974,0.6912
46.4230,-0.0423,0.0199,-0.0051,-0.9842,-0.0223
46.5230,0.0784,-0.0353,0.0714,-0.7448,-0.7070
46.6230,-0.2339,-0.2069,-0.0626,-0.5053,-0.6759
46.7230,-0.2261,-0.0697,-0.0895,-0.0672,-1.1763
46.8230,-0.0151,0.0487,0.0996,0.4476,-0.9105
46.9230,-0.0791,-0.0870,0.1023,0.6319,-0.7812
47.0230,-0.3239,-0.2447,0.2856,0.1483,-0.2569
47.1230,-0.1955,0.0105,0.0962,0.2752,0.2028
47.2230,0.2111,0.1267,0.0418,0.0812,0.9881
47.3230,0.1219,-0.0345,-0.1087,0.0214,0.3225
47.4230,0.0763,-0.0939,-0.0328,0.9384,0.0855
47.5230,0.0763,-0.0630,0.0669,1.2209,0.2459
47.6230,-0.0034,-0.1637,0.0887,1.1945,-0.0175
47.7230,0.0110,-0.3612,0.2827,0.9934,0.0495
47.8230,0.0837,-0.0305,0.2339,0.7109,0.2219
47.9230,-0.0513,0.0841,0.4634,-0.0528,0.6050
48.0230,0.0257,0.0153,0.5404,0.6104,0.1716
48.1230,0.1075,-0.0627,0.8020,0.8977,-0.1564
48.2230,0.1773,0.0511,1.0746,1.0629,0.3823
48.3230,0.0840,0.0465,1.2193,0.6750,0.2363
48.4230,-0.0287,-0.2540,1.5066,0.8881,0.5954
48.5230,0.0984,0.1009,1.3480,0.3159,1.0120
48.6230,0.2471,0.1097,1.3805,-0.5365,0.9162
48.7230,0.1123,0.1915,1.2161,0.2081,0.6792
48.8230,0.1490,0.0369,1.1812,0.1818,0.7846
48.9230,0.0760,0.0745,1.0786,0.6391,0.7846
49.0230,0.1003,0.0127,0.9414,0.9144,0.4374
49.1230,0.0408,-0.2754,0.8489,0.3925,0.2339
49.2230,0.1080,0.0889,0.6989,0.4691,0.7271
49.3230,0.1909,0.3236,0.6115,0.0238,0.3943
49.4230,0.0009,-0.0204,0.5822,0.4045,0.2554
49.5230,-0.1142,-0.0278,0.5689,0.3685,0.2124
49.6230,-0.1209,0.0087,0.5934,0.2871,-0.3024
49.7230,-0.0332,0.0503,0.6310,0.3374,-0.0821
49.8230,0.1205,0.1273,0.3107,0.2249,-0.1516
49.9230,0.0190,-0.0356,0.3094,-1.0464,0.9953
50.0230,-0.0391,0.0377,-0.0949,0.4308,0.4159
50.1230,-0.0274,-0.0880,-0.2422,0.4643,-0.0941
50.2230,-0.0889,-0.1261,-0.2260,0.1411,0.2243
50.3230,-0.0388,-0.0542,-0.2057,-0.0457,0.3512
50.4230,-0.0220,0.0023,-0.4453,0.1842,-0.2737
50.5230,0.1469,-0.0188,-0.5276,-0.3641,-0.0726
50.6230,0.1005,-0.1635,-0.5865,0.4188,-0.4054
50.7230,-0.1246,-0.1403,-0.3528,0.0453,-0.6759
50.8230,-0.1374,0.0223,-0.2755,0.1531,-0.2832
50.9230,0.0283,0.1246,-0.4866,-0.3617,0.3033
51.0230,0.0987,-0.0795,-0.6022,-0.3114,0.0424
