time,deltaX,deltaY,squal,shutter
26.019080,0,0,20,255
26.039220,0,0,24,255
26.065273,0,0,21,255
26.095128,0,0,24,255
26.115359,0,0,27,255
26.140243,0,0,24,255
26.160360,0,0,24,255
26.185569,0,0,29,255
26.205726,0,0,28,255
26.231649,0,0,28,255
26.251761,0,0,28,255
26.282475,0,0,31,255
26.302709,0,0,35,255
26.327940,6,1,38,255
26.348040,10,2,43,255
26.372602,15,0,43,255
26.392713,9,0,43,255
26.416633,9,0,53,255
26.436680,10,2,55,255
26.461263,10,2,56,255
26.481395,8,3,60,255
26.506571,11,1,56,255
26.526964,9,3,58,255
26.557840,13,6,62,255
26.577930,8,1,63,255
26.603080,12,2,56,255
26.623150,10,0,58,255
26.647700,10,3,64,255
26.667846,8,2,61,255
26.692403,11,0,64,255
26.712505,9,-3,62,255
26.737741,12,0,67,255
26.757896,7,2,69,255
26.788523,17,-5,71,255
26.808700,10,0,74,255
26.833336,11,4,72,255
26.853513,9,1,73,255
26.878982,11,0,72,255
26.899052,10,1,72,255
26.924252,14,3,74,255
26.944367,9,0,71,255
26.968900,13,0,75,255
26.988963,11,1,72,255
27.020818,18,2,70,255
27.040929,11,1,68,255
27.066100,13,0,72,255
27.086168,12,0,67,255
27.110103,11,-2,65,255
27.130214,10,-1,63,255
27.155365,15,-2,60,255
27.175442,11,-4,58,255
27.199350,13,-4,60,255
27.219480,8,-3,66,255
27.244030,9,0,64,255
27.270821,16,3,53,255
27.295500,10,-1,59,255
27.315688,10,-3,64,255
27.340256,13,1,64,255
27.360345,12,2,64,255
27.385569,16,0,60,255
27.405746,12,7,56,255
27.429698,11,10,60,255
27.449866,8,3,56,255
27.474473,10,3,60,255
27.494616,9,2,61,255
27.526477,17,5,52,255
27.546577,10,3,55,255
27.571188,10,3,61,255
27.591319,11,3,63,255
27.615859,13,2,60,255
27.635971,10,4,61,255
27.660592,12,2,57,255
27.680710,13,1,51,255
27.705888,16,1,52,255
27.725952,13,2,53,255
27.749857,20,0,54,255
27.776625,21,1,54,255
27.801225,16,1,59,255
27.821376,12,2,62,255
27.845938,15,0,58,255
27.866102,13,-1,56,255
27.890081,13,-4,57,255
27.910243,13,-4,54,255
27.934834,16,-3,51,255
27.954992,12,-2,53,255
27.980987,16,-4,55,255
28.001065,11,-1,60,255
28.032282,15,1,50,255
28.052441,8,0,51,255
28.076971,2,2,58,255
28.097044,3,2,60,255
28.121010,9,1,58,255
28.141160,5,0,59,255
28.165719,14,3,55,255
28.185951,13,3,53,255
28.210486,17,2,57,255
28.230603,15,1,58,255
28.255088,15,2,52,255
28.275155,12,0,54,255
28.305731,18,0,53,255
28.325910,8,2,52,255
28.350447,10,3,59,255
28.370621,8,-1,58,255
28.393961,10,-1,53,255
28.414102,11,-1,55,255
28.439253,16,3,57,255
28.459392,12,0,60,255
28.483966,16,-4,65,255
28.504090,12,2,67,255
28.535936,17,-1,63,255
28.556142,11,0,63,255
28.580188,8,-3,66,255
28.600392,13,-2,67,255
28.625590,11,1,61,255
28.645657,11,4,63,255
28.670936,16,1,59,255
28.691040,11,3,53,255
28.716204,15,3,46,255
28.736251,10,0,49,255
28.760809,11,0,46,255
28.786390,14,1,48,255
28.812225,13,-1,45,255
28.832346,10,0,48,255
28.857561,11,2,59,255
28.877737,11,2,61,255
28.902890,16,4,62,255
28.922954,13,2,59,255
28.947499,17,0,60,255
28.967698,15,-2,61,255
28.992270,19,0,61,255
29.012444,13,3,57,255
29.043115,17,0,49,255
29.063315,13,-2,48,255
29.088619,15,0,46,255
29.108710,13,3,45,255
29.133253,15,2,41,255
29.153397,11,0,43,255
29.177274,12,2,47,255
29.197349,8,2,45,255
29.221306,6,1,45,255
29.241391,8,-1,49,255
29.266506,15,0,47,255
29.293250,14,3,52,255
29.317620,11,2,55,255
29.337878,8,0,49,255
29.362459,15,-5,56,255
29.382552,11,0,56,255
29.408065,13,0,56,255
29.428175,10,0,60,255
29.452660,9,0,54,255
29.472736,7,4,54,255
29.497311,7,0,53,255
29.517500,7,0,52,255
29.548110,6,1,53,255
29.568287,9,3,49,255
29.592388,9,-1,44,255
29.612605,9,-4,44,255
29.637168,12,-3,41,255
29.657296,12,2,38,255
29.682542,17,-2,34,255
29.702727,14,-2,36,255
29.727254,19,4,32,255
29.747298,11,2,33,255
29.771854,16,1,32,255
29.798092,13,-1,36,255
29.822691,7,1,37,255
29.842768,8,2,36,255
29.866722,5,0,32,255
29.886963,7,1,35,255
29.911512,8,0,40,255
29.931616,9,2,38,255
29.956805,12,3,42,255
29.976938,14,2,44,255
30.001480,13,0,41,255
30.021541,14,2,38,255
30.053395,20,2,45,255
30.073520,10,3,48,255
30.098688,19,-2,47,255
30.118803,12,-2,46,255
30.143366,17,-4,43,255
30.163495,14,-2,43,255
30.188038,15,-1,49,255
30.208234,11,-2,54,255
30.232832,10,0,45,255
30.253029,15,3,50,255
30.278190,10,1,56,255
30.303681,13,0,56,255
30.329583,10,3,65,255
30.349729,9,2,68,255
30.369966,9,0,66,255
30.390135,12,1,67,255
30.410137,11,0,65,255
30.433460,14,3,69,255
30.453593,9,0,70,255
30.477514,14,1,77,255
30.497591,13,2,72,255
30.521566,10,-1,69,255
30.541671,13,0,69,255
30.572817,18,6,61,255
30.592911,11,3,60,255
30.618214,12,0,63,255
30.638390,9,2,60,255
30.662943,14,0,47,255
30.683053,12,0,50,255
30.707619,13,1,57,255
30.727770,12,0,57,255
30.752984,13,-7,54,255
30.773102,14,-3,60,255
30.805141,23,4,53,255
30.825332,9,0,53,255
30.849306,11,-3,59,255
30.869468,7,-3,59,255
30.894677,16,0,53,255
30.914777,13,0,52,255
30.939265,11,0,50,255
30.959313,9,0,49,255
30.983853,9,-1,53,255
31.003979,9,0,52,255
31.028554,10,-1,54,255
31.055347,9,2,50,255
31.079993,11,3,52,255
31.100164,10,3,53,255
31.125336,11,4,52,255
31.145486,17,6,53,255
31.170070,14,0,54,255
31.190223,12,0,51,255
31.215391,13,0,55,255
31.235595,10,-3,57,255
31.259572,14,0,63,255
31.279712,11,1,67,255
31.310881,20,0,61,255
31.330975,9,2,63,255
31.356188,10,1,69,255
31.376346,8,1,70,255
31.400874,6,0,66,255
31.420990,5,1,67,255
31.444962,3,2,65,255
31.465126,8,1,63,255
31.490329,15,1,69,255
31.510445,15,0,70,255
31.534982,16,3,69,255
31.561113,17,1,68,255
31.586321,20,0,68,255
31.606465,15,0,70,255
31.630429,17,0,73,255
31.650520,10,0,75,255
31.674416,14,2,74,255
31.694476,11,0,69,255
31.719698,13,0,66,255
31.739848,12,3,69,255
31.764426,12,2,66,255
31.784561,14,0,65,255
31.815850,26,4,54,255
31.836150,12,2,53,255
31.860763,18,-1,52,255
31.880892,11,-3,47,255
31.906714,13,-1,40,255
31.926864,10,1,38,255
31.951461,11,0,34,255
31.971569,9,0,33,255
31.995504,14,0,33,255
32.015598,9,0,30,255
32.040103,14,1,26,255
32.066218,8,2,22,255
32.091479,0,0,22,255
32.111639,0,0,24,255
32.136169,0,0,24,255
32.156258,0,0,18,255
32.181437,0,0,15,255
